pattern_id,velocity
4001_0_3,17.58
4002_0_3,20.83
4101_0_1,20.23
4101_0_2,21.13
4102_0_1,24.76
4102_0_2,26.37
4103_0_1,20.38
4103_0_2,20.16
4104_0_1,19.43
4201_0_1,15.55
4201_0_2,18.41
4202_0_1,19.18
4202_0_2,21.94
4203_0_1,21.45
4203_0_2,22.27
4203_1_2,24.57
4204_0_1,19.50
4204_0_2,21.86
4205_0_1,19.82
4205_0_2,21.50
4205_1_2,16.79
4206_0_1,21.10
4206_0_2,22.47
4207_0_1,23.42
4207_0_2,23.32
4207_1_1,19.06
4207_2_2,19.84
4208_0_1,28.89
4208_0_2,27.24
4210_0_1,9.35
4210_0_2,21.01
4211_0_3,29.37
4212_0_1,32.80
4212_0_2,32.87
4301_0_1,23.45
4301_0_2,20.60
4301_0_3,11.93
4302_0_1,17.44
4302_0_2,19.76
4303_0_3,12.39
4304_0_1,36.42
4304_0_2,34.15
4305_0_1,29.42
4305_0_2,29.35
4306_0_1,22.30
4306_0_2,23.01
4307_0_1,37.43
4307_0_2,37.42
4307_1_1,45.57
4307_1_2,42.61
4308_0_1,29.66
4308_0_2,30.04
4310_0_1,36.33
4310_0_2,35.82
4311_0_1,31.80
4311_0_2,32.05
4312_0_1,31.85
4312_0_2,32.10
4312_1_1,36.11
4312_1_2,35.80
4312_2_2,31.08
4313_0_1,29.27
4313_0_2,28.17
4320_0_3,14.92
4321_0_1,31.39
4321_0_2,29.81
4322_0_1,32.09
4322_0_2,32.61
4322_1_1,35.42
4322_1_2,35.83
4401_0_1,14.75
4401_0_2,15.73
4402_0_1,18.20
4402_0_2,18.69
4403_0_1,14.49
4403_0_2,16.00
4404_0_3,16.96
4405_0_1,17.16
4405_0_2,18.57
4406_0_1,16.25
4406_0_2,14.76
4406_1_1,19.07
4406_1_2,17.89
4406_2_1,21.91
4406_2_2,15.33
4407_0_1,27.61
4407_1_1,22.79
4408_0_2,18.81
4409_0_1,16.46
4409_0_2,15.85
4410_0_1,16.25
4410_0_2,16.24
4410_1_1,16.38
4410_1_2,13.68
4410_2_1,16.33
4410_2_2,14.76
4411_0_1,16.88
4411_0_2,17.14
4412_0_1,20.36
4412_0_2,20.09
4413_0_2,22.71
4414_0_1,19.05
4414_0_2,19.68
4415_0_1,28.90
4415_0_2,30.23
4416_0_1,20.16
4416_0_2,21.25
4417_0_1,20.43
4417_0_2,20.97
4418_0_1,16.95
4418_0_2,14.25
4419_0_1,19.25
4419_0_2,18.96
4420_0_1,15.93
4420_0_2,17.24
4421_0_1,19.03
4421_0_2,16.25
4422_0_1,16.78
4422_0_2,15.58
4422_1_1,18.78
4422_2_2,16.66
4423_0_1,17.00
4423_0_2,18.60
4424_0_1,14.63
4424_0_2,14.60
4425_0_1,24.71
4425_0_2,25.00
4425_1_1,24.27
4425_1_2,24.55
4426_0_1,13.01
4426_0_2,12.87
4426_1_1,13.75
4426_1_2,13.60
4426_2_1,16.17
4426_3_2,19.95
4426_4_2,13.97
4427_0_1,18.54
4427_0_2,24.00
4428_0_1,17.41
4428_0_2,18.28
4429_0_1,15.90
