code,name,geocoder_address,address,locality,municipality,district,postal_code,nature,cicle
507544,Jardim de Infância A Palmeira,"Rua 5 de Outubro - Bairro do Pinheiro Grande, 2955-042 PINHAL NOVO, Palmela, Portugal",Rua 5 de Outubro - Bairro do Pinheiro Grande,PINHAL NOVO,Palmela,Setúbal,2955-042,Privado,Pré-escolar|1º Ciclo|2º Ciclo
290040,"Escola Básica de Cortegaça, Sintra","R. da República, 2715-311 ALMARGEM DO BISPO, Sintra, Portugal",R. da República,ALMARGEM DO BISPO,Sintra,Lisboa,2715-311,Publico,Pré-escolar|1º Ciclo
243504,"Escola Básica de São João de Deus, Lisboa","R. Caetano Alberto, 1000-283 LISBOA, Lisboa, Portugal",R. Caetano Alberto,LISBOA,Lisboa,Lisboa,1000-283,Publico,1º Ciclo
244790,"Escola Básica n.º 2 da Bobadela, Loures","Rua dos Eucaliptos, 2695-004 BOBADELA LRS, Loures, Portugal",Rua dos Eucaliptos,BOBADELA LRS,Loures,Lisboa,2695-004,Publico,1º Ciclo
341423,"Escola Básica Eugénio dos Santos, Lisboa","R. Luís Augusto Palmeirim, 1700-272 LISBOA, Lisboa, Portugal",R. Luís Augusto Palmeirim,LISBOA,Lisboa,Lisboa,1700-272,Publico,2º Ciclo|3º Ciclo
403209,"Escola Secundária da Amora, Seixal","R. Mário Sacramento, 2845-122 AMORA, Seixal, Portugal",R. Mário Sacramento,AMORA,Seixal,Setúbal,2845-122,Publico,3º Ciclo|Secundário|Profissional
803244,Externato O Mundo dos Sentidos,"Rua Domingos Saraiva, n.º 16 e 16 A, 2725-286 MEM MARTINS, Sintra, Portugal","Rua Domingos Saraiva, n.º 16 e 16 A",MEM MARTINS,Sintra,Lisboa,2725-286,Privado,Pré-escolar
502534,CEBE - Cooperativa de Ensino de Benfica,"Estrada de Benfica, nº 356, 1500-099 LISBOA, Lisboa, Portugal","Estrada de Benfica, nº 356",LISBOA,Lisboa,Lisboa,1500-099,Privado,Pré-escolar|1º Ciclo
244284,"Escola Básica da Quinta da Vala, Vila Franca de Xira","Praceta Projectada à Av. Capitão Meleças, 2615-091 ALVERCA DO RIBATEJO, Vila Franca de Xira, Portugal",Praceta Projectada à Av. Capitão Meleças,ALVERCA DO RIBATEJO,Vila Franca de Xira,Lisboa,2615-091,Publico,Pré-escolar|1º Ciclo
330334,"Escola Básica Maria do Carmo Serrote, Sesimbra","Rua António José de Almeida - Quinta do Conde, 2975-316 QUINTA DO CONDE, Sesimbra, Portugal",Rua António José de Almeida - Quinta do Conde,QUINTA DO CONDE,Sesimbra,Setúbal,2975-316,Publico,Pré-escolar|1º Ciclo|2º Ciclo|3º Ciclo
518141,Jardim de Infância António Pinheiro Pinto Basto - Centro De Assistência Social De Belas,"Rua João José De Aguiar, n.º 31, 2605-031 BELAS, Sintra, Portugal","Rua João José De Aguiar, n.º 31",BELAS,Sintra,Lisboa,2605-031,Privado,Pré-escolar
504464,Externato Pica-Pau,"Rua do Poder Local Nº73 - Serra da Amoreira, 2620-390 RAMADA, Odivelas, Portugal",Rua do Poder Local Nº73 - Serra da Amoreira,RAMADA,Odivelas,Lisboa,2620-390,Privado,Pré-escolar|1º Ciclo
340881,"Escola Básica e Secundária D. Martinho Vaz de Castelo Branco, Póvoa de Santa Iria, Vila Franca de Xira","R. Américo Costa - Quinta da Piedade, 2626-504 PÓVOA DE SANTA IRIA, Vila Franca de Xira, Portugal",R. Américo Costa - Quinta da Piedade,PÓVOA DE SANTA IRIA,Vila Franca de Xira,Lisboa,2626-504,Publico,2º Ciclo|3º Ciclo|Secundário
804150,L e L - Languages for Life,"Avenida Dom João II, Lote 4.53.01, Bloco B - Parque das Nações, 1990-100 LISBOA, Lisboa, Portugal","Avenida Dom João II, Lote 4.53.01, Bloco B - Parque das Nações",LISBOA,Lisboa,Lisboa,1990-100,Privado,Extra-escolar
250363,Escola Básica n.º 1 de Alcochete,"R. Rui de Sousa Vinagre, 2890-090 ALCOCHETE, Alcochete, Portugal",R. Rui de Sousa Vinagre,ALCOCHETE,Alcochete,Setúbal,2890-090,Publico,Pré-escolar|1º Ciclo
