school_id,school_name,coordinates_lat,coordinates_lon
,,38.6193149,-8.9010708
,,38.8321946,-9.3229286
,,38.7388682,-9.1394322
,,38.8019734,-9.0986411
,,38.7556369,-9.1444045
,,38.6290056,-9.120915
,,38.7972262,-9.343582
,,38.7451422,-9.180663
,,38.8960065,-9.0349636
,,38.56061529999999,-9.0451719
,,38.7791473,-9.2633317
,,38.804215,-9.1935349
,,38.863821,-9.0720399
,,38.7785446,-9.0971777
,,38.7541002,-8.959869
,,38.6556387,-9.048646900000001
,,38.712665,-8.9774456
,,38.6497299,-8.988192999999999
,,38.9502858,-9.1978885
,,38.7025827,-9.3262392
,,38.7610525,-9.153588400000002
,,38.5190939,-9.0186222
,,38.76416870000001,-9.215775899999999
,,38.7708282,-9.3230215
,,38.7753207,-9.1075719
,,38.768198,-9.2923189
,,38.7318203,-9.2187752
,,38.8796049,-9.066102299999999
,,38.7537219,-9.232170499999999
,,38.7129234,-9.2719895
,,38.9962657,-8.9736415
,,38.8053547,-9.3788588
,,38.6834827,-9.3446012
,,38.65956240000001,-9.0617504
,,38.6573784,-9.056745099999999
,,38.6683591,-9.1647649
,,38.4511403,-9.1287071
,,38.7116945,-8.949547599999999
,,38.7096394,-9.1987442
,,38.6450109,-9.040589599999999
,,38.7328984,-9.2124352
,,38.7080758,-8.9790551
,,38.7341728,-9.1139387
,,38.7919596,-9.201068099999999
,,38.76604349999999,-9.1822046
,,38.8576836,-9.3238016
,,38.8162046,-9.1260414
,,38.5761195,-9.0486589
,,38.7605537,-9.1894976
,,38.77900460000001,-9.104495
,,38.6203107,-9.1931104
,,38.777605,-9.1447326
,,38.7672906,-9.2378498
,,38.6545543,-9.0690324
,,38.5929326,-9.040448699999999
,,38.7589417,-9.1634023
,,38.6165062,-9.1006539
,,38.6946147,-9.3554133
,,38.749862,-9.1025818
,,38.6317357,-8.9147803
,,38.7076409,-9.147433
,,38.6212791,-9.109815
,,38.7586491,-9.1410968
,,38.7274765,-9.1266775
,,38.6522605,-9.149939400000001
,,38.6973182,-9.294484299999999
,,38.92898479999999,-9.2305835
,,38.6973893,-9.224988
,,38.6645027,-9.2308646
,,38.7812251,-9.3170852
,,38.729726,-9.4473875
,,38.7584881,-9.1662634
,,38.7566289,-9.286845399999999
,,38.7716922,-9.103736099999999
,,38.6001768,-8.897217699999999
,,38.7028113,-9.276953599999999
,,38.6466376,-8.9860017
,,38.7544547,-9.2630986
,,38.7981803,-9.1736115
,,38.52155279999999,-8.8665631
,,38.8055038,-9.1314533
,,38.6404004,-8.8904578
,,38.7233689,-9.343291299999999
,,38.71161370000001,-9.235599299999999
,,38.6561888,-9.018314199999999
,,38.7687677,-9.1590326
,,38.7577321,-9.209376299999999
,,38.8071327,-9.2026905
,,38.7607273,-9.1133967
,,38.7913387,-9.1360283
,,38.6323051,-9.097980999999999
,,38.6507189,-9.0552876
,,38.8738716,-9.3980148
,,38.6900554,-9.3505611
,,38.7202366,-9.1382985
,,38.7873433,-9.306296999999999
,,38.5245486,-8.853895
,,38.9666211,-9.4180364
,,38.6206824,-9.0267882
,,38.8205186,-9.2903051
,,38.96109620000001,-9.0168199
,,38.5773878,-9.1976949
,,38.7259584,-9.157922
,,38.7555953,-9.252065199999999
,,38.7382012,-9.140320800000001
,,38.7122106,-9.156807299999999
,,38.6256407,-9.096292300000002
,,38.7118543,-9.229782499999999
,,38.7859893,-9.3048077
,,38.532222,-8.8887843
,,38.7251445,-9.333070099999999
,,38.6968274,-9.289977499999999
,,38.8752044,-9.3984277
,,38.630723,-9.1167642
,,38.708179,-8.9861077
,,38.7148607,-9.1257281
,,38.6295046,-9.1912862
,,38.7609802,-9.254586999999999
,,38.7025262,-9.392547
,,38.9566073,-9.000116
,,38.7919868,-9.1503262
,,38.7030854,-9.194967199999999
,,38.7067754,-9.1780134
,,38.7712954,-9.2923215
,,38.6221452,-9.094337099999999
,,38.7690865,-9.2343584
,,38.7118274,-9.1589297
,,38.7253616,-9.1206435
,,38.7496699,-9.1938257
,,38.6115457,-9.1882386
,,38.7469147,-9.145591399999999
,,38.7202291,-9.146238499999999
,,38.6607989,-9.0672116
,,38.8000944,-9.1454306
,,38.7156121,-9.160989899999999
,,38.7593324,-9.186533599999999
,,38.7275745,-9.2479862
,,38.8074243,-9.3255802
,,38.5383311,-8.8560894
,,38.7538756,-9.2690249
,,38.7599603,-9.2673931
,,38.7060986,-9.2246518
,,38.7663792,-9.309044199999999
,,38.740184,-9.307203
,,38.543585,-8.8811656
,,38.6478086,-9.0398027
,,38.7591429,-9.0982047
,,38.7408226,-9.1110756
,,38.7064838,-9.1890098
,,38.8199837,-9.1989542
,,38.7664478,-9.2390142
,,38.8936225,-9.0423144
,,38.7821855,-9.3260662
,,38.4724384,-9.0946043
,,38.7818431,-9.112241
,,38.7580814,-9.2670563
,,38.6905515,-9.3577689
,,38.7971622,-9.3268077
,,38.6583833,-8.9865464
,,38.593088,-9.0475657
,,38.715592,-9.1291551
,,38.6162722,-9.1150073
,,38.7453333,-8.958273499999999
,,38.80489559999999,-9.2190914
,,38.8158858,-9.1597992
,,38.7989113,-9.234199199999999
,,38.9288052,-9.0152843
,,38.4301517,-9.1894726
,,38.6391226,-9.1773372
,,38.7631404,-9.2087383
,,38.768716,-9.1900312
,,38.7398728,-9.1517629
,,38.7280788,-8.9480457
,,38.8576919,-9.0777139
,,38.7421227,-9.1347404
,,38.61908409999999,-9.098712599999999
,,38.6443921,-9.165184199999999
,,38.7275137,-9.134691499999999
,,38.699768,-9.3790517
,,38.745222,-9.111447799999999
,,38.7570041,-9.257936599999999
,,38.7300043,-9.174235999999999
,,38.8252083,-9.143280299999999
,,38.6555518,-9.0509375
,,38.719755,-9.4363782
,,38.6851317,-8.9541769
,,38.6226019,-9.1003699
,,38.9255869,-9.2343309
,,38.784626,-9.188574899999999
,,38.7121662,-9.372589999999999
,,38.6135078,-8.7805319
,,38.7767048,-9.1018511
,,38.6673295,-9.2427964
,,38.6895716,-9.3345843
,,38.6884002,-9.3360152
,,38.7484107,-9.181192099999999
,,38.6533925,-9.182849
,,38.7610498,-9.2357696
,,38.7022595,-9.3376558
,,38.6885629,-9.3540318
,,38.7174224,-9.2441196
,,38.6457778,-8.9896984
,,38.7088049,-9.139870799999999
,,38.7678041,-9.2053424
,,38.7184101,-9.3346871
,,38.6882597,-9.3331801
,,38.7556395,-9.1779767
,,38.78342749999999,-9.186081
,,38.6215198,-9.1124938
,,38.7506695,-9.2793175
,,38.7562929,-9.1372144
,,38.6294033,-9.0452248
,,38.6661689,-8.9850684
,,38.800517,-9.1830771
,,38.7921512,-9.1083643
,,38.7361237,-9.2121157
,,38.7810393,-9.3215276
,,38.7666264,-9.3042299
,,38.7099307,-8.9829274
,,38.7940904,-9.1753384
,,38.7060651,-9.4064556
,,38.7080184,-9.160130700000002
,,38.7368978,-9.3409978
,,38.7690097,-9.3000206
,,38.7794788,-9.2617311
,,38.5331552,-8.904102199999999
,,38.7123178,-9.1473598
,,38.713324,-9.1428691
,,38.6955362,-9.216516900000002
,,38.805265,-9.1964512
,,38.7350054,-9.137148999999999
,,38.7850148,-9.320926799999999
,,38.4711464,-9.1697323
,,38.5227818,-8.8760964
,,38.781473,-9.3154994
,,38.7518684,-9.149233299999999
,,38.7301962,-9.1434186
,,38.7846209,-9.3136481
,,38.7447041,-9.1920387
,,38.6637521,-9.0527898
,,38.7299221,-9.1397906
,,38.9094795,-9.3338621
,,38.8096806,-9.2336339
,,38.8930318,-9.036918
,,38.8021806,-9.3431061
,,38.8013105,-9.1039566
,,38.6648329,-9.0516014
,,38.8012296,-9.3511212
,,38.64761499999999,-9.062152400000002
,,38.7298134,-9.211247
,,38.6368029,-8.878065399999999
,,38.9286123,-9.242561499999999
,,38.6906519,-9.3275502
,,38.7333243,-9.394253299999999
,,38.6512806,-9.158072899999999
,,38.875106,-9.057668999999999
,,38.7669996,-9.2196521
,,38.75931,-9.256580399999999
,,38.6315811,-9.162069800000001
,,38.7518783,-8.9644221
,,38.6016337,-9.015579400000002
,,38.8729404,-9.357479699999999
,,38.7713156,-9.257015
,,38.7352698,-9.120798299999999
,,38.7095496,-9.3960072
,,38.525404,-8.885429199999999
,,38.8129134,-9.1628334
,,38.7509837,-9.1972472
,,38.7286298,-9.1310881
,,38.6306555,-9.163411199999999
,,38.8018708,-9.1282529
,,38.7112642,-9.156889999999999
,,38.7605125,-9.2412228
,,38.7068652,-9.187479999999999
,,38.7823478,-9.159307199999999
,,38.7496203,-9.3507974
,,38.7910832,-9.1409186
,,38.7629295,-9.3011737
,,38.6488792,-9.0231239
,,38.79790819999999,-9.3296104
,,38.81698189999999,-9.1363605
,,38.8081863,-9.099984599999999
,,38.9617714,-8.5366894
,,38.7728202,-9.2962401
,,38.7919091,-9.1507951
,,38.8121262,-9.1595014
,,38.9407772,-9.3285664
,,38.75609439999999,-9.094721500000002
,,38.7319772,-9.1284117
,,38.7043466,-9.1853882
,,38.953034,-9.0122571
,,38.6252357,-9.2039366
,,38.52281869999999,-8.8881877
,,38.7218558,-9.116541699999999
,,38.66957,-9.239099
,,38.7712896,-9.2499776
,,38.52318,-8.9156111
,,38.7479359,-9.1779502
,,38.7597306,-9.1715289
,,38.7322599,-9.1511356
,,38.7228542,-8.9163376
,,38.9957443,-9.3349693
,,38.7916879,-9.1938338
,,38.709385,-8.974756
,,38.5863727,-9.1598235
,,38.7513566,-9.1304003
,,38.7294286,-9.1638311
,,38.64887179999999,-9.1599722
,,38.5719729,-8.9023577
,,38.7711288,-9.313829499999999
,,38.697185,-9.3758041
,,38.8250632,-9.1726422
,,38.75683859999999,-9.28335
,,38.7602097,-9.2677072
,,38.628345,-9.086611
,,38.8572316,-9.07387
,,38.8643954,-9.0636385
,,38.768776,-9.1967304
,,38.7931237,-9.1807517
,,38.6566178,-9.075325699999999
,,38.7608278,-9.189375
,,38.8213063,-9.1037219
,,38.7976166,-9.1916928
,,38.9363468,-9.259350699999999
,,38.8459923,-9.3417016
,,38.5278433,-8.8888701
,,38.7099046,-9.275414699999999
,,38.69996030000001,-9.2391296
,,38.539558,-8.8764205
,,38.9152384,-9.0273683
,,38.7408301,-9.1717365
,,38.7674782,-9.1936211
,,38.9062819,-9.0439939
,,38.5469381,-9.0217665
,,38.7539218,-9.2301664
,,38.7253347,-9.1572944
,,38.6986245,-9.316409499999999
,,38.7588165,-9.124389899999999
,,38.9223546,-9.2354471
,,38.6321233,-9.037306500000001
,,41.218912,-8.6963065
,,38.719325,-9.159234
,,38.7474522,-9.2049053
,,38.6768082,-9.1517387
,,38.631954,-9.1492155
,,38.5576766,-8.766790400000001
,,38.6497877,-9.048173799999999
,,38.7466741,-9.1426608
,,38.7854418,-9.3463152
,,38.7180063,-9.1616657
,,38.5749376,-8.9008669
,,38.6479367,-9.063056699999999
,,38.5291708,-8.886859
,,38.774278,-9.2700751
,,38.6906519,-9.3275502
,,38.7239285,-9.2240589
,,38.7749978,-9.3054033
,,38.6323701,-9.198442
,,38.7057364,-9.1773806
,,38.5657964,-9.1002486
,,38.7054553,-9.3835596
,,38.7110482,-9.167363
,,38.752738,-9.153415899999999
,,38.7417879,-9.1631216
,,38.7506151,-9.1310936
,,38.7742455,-9.3135934
,,38.787095,-9.3223308
,,38.7095565,-9.214377299999999
,,38.7996793,-9.3784472
,,38.7162785,-9.1294468
,,38.7688768,-9.2393822
,,38.6336038,-9.2010883
,,38.9292999,-9.25152
,,38.8589991,-9.3342335
,,38.4741841,-9.1409223
,,38.7653893,-9.153651199999999
,,38.7187081,-9.3021034
,,38.7604827,-9.230585699999999
,,38.7552392,-9.2846221
,,38.802501,-9.232725499999999
,,38.6608548,-9.164100999999999
,,38.7139808,-9.4369449
,,38.7807794,-9.1063808
,,38.7683591,-9.2572223
,,38.7042584,-9.4004511
,,38.859259,-9.133681900000001
,,38.640888,-9.1775349
,,38.7505433,-9.350102399999999
,,38.8162046,-9.1260414
,,38.7456192,-9.2699831
,,38.76902010000001,-9.198176499999999
,,38.6833462,-9.1570307
,,38.7791805,-9.115424599999999
,,38.7300835,-9.1298491
,,38.766632,-9.1132825
,,38.7707394,-9.3129455
,,38.7302678,-9.407079999999999
,,38.6312638,-9.116131
,,38.7737778,-9.157872
,,38.7353875,-9.1654659
,,38.904408,-9.414931
,,38.773911,-9.4787957
,,38.8142035,-9.3889851
,,38.6535057,-9.1453781
,,38.7065991,-9.350933699999999
,,38.7808033,-9.1143354
,,38.5260369,-8.8952871
,,38.7123668,-9.227186699999999
,,38.8004091,-9.3749001
,,38.6664294,-9.184346699999999
,,38.7566574,-9.360273099999999
,,38.6420481,-9.158632299999999
,,38.8636082,-9.3284594
,,38.9371448,-9.335296
,,38.6833619,-9.1528125
,,38.6392895,-9.0456789
,,38.9386956,-9.0154417
,,38.7505901,-9.145992399999999
,,38.7305595,-9.138995999999999
,,38.8019953,-9.2369569
,,38.7053425,-9.3942807
,,38.6870144,-9.3399754
,,38.761632,-9.1162795
,,38.7633546,-9.2369994
,,38.7131919,-9.1328389
,,38.8066473,-9.098739
,,38.8058501,-9.1759785
,,38.7617789,-9.2374438
,,38.6634282,-9.0465477
,,38.6153598,-9.0909508
,,38.7111505,-9.1482025
,,38.7460304,-9.1208674
,,38.7393011,-9.1815482
,,38.7560678,-9.14721
,,38.7792526,-9.229387599999999
,,38.5254805,-8.9970948
,,38.8086874,-9.1896366
,,38.7047476,-9.415792699999999
,,38.7458637,-9.3895167
,,38.8613977,-9.0783638
,,38.7863639,-9.3475036
,,38.81071439999999,-9.1746894
,,38.6084975,-9.1802467
,,38.7140496,-9.1676674
,,38.7133931,-9.3487964
,,38.7555953,-9.252065199999999
,,38.718539,-9.4627231
,,38.7108599,-9.205644
,,38.8087494,-9.3794497
,,38.6920614,-9.3194594
,,38.72215449999999,-9.1437776
,,38.7205387,-9.1202388
,,38.7681009,-9.2297678
,,38.6091276,-9.0912357
,,38.7786671,-9.298135
,,38.475017,-9.155734
,,38.852917,-9.1672815
,,38.939506,-9.3360662
,,38.627182,-9.0864354
,,38.7196465,-9.1208549
,,38.6566178,-9.075325699999999
,,38.8753897,-9.060912
,,38.7022809,-9.3839093
,,38.8010423,-9.4577241
,,38.738474,-9.139016999999999
,,38.73468889999999,-9.3912552
,,38.7443609,-9.134951
,,38.745661,-9.2817563
,,38.7597311,-9.1675309
,,38.8434586,-9.1602558
,,38.7812251,-9.3170852
,,38.850617,-9.3806865
,,38.922362,-9.2352662
,,38.7078229,-9.2070318
,,38.7225454,-9.0029319
,,38.6295833,-9.0466716
,,38.7003356,-9.2168333
,,38.6464573,-8.9856818
,,38.8015434,-9.374320299999999
,,38.7110134,-8.966972799999999
,,38.72437360000001,-9.2637472
,,38.7899365,-9.1653878
,,38.6985489,-9.419163
,,38.7678688,-9.232921
,,38.6486422,-9.022138499999999
,,38.9404409,-9.338221599999999
,,38.7536819,-9.1455519
,,38.6355832,-8.9100985
,,38.7164119,-9.1586021
,,38.8632809,-9.1589803
,,38.7572445,-9.2674246
,,38.7423005,-9.202198400000002
,,38.7647007,-9.2156875
,,38.7705235,-9.2274335
,,38.6302876,-9.117296699999999
,,38.7390211,-9.1032429
,,38.749042,-9.1681197
,,38.6829717,-8.6649129
,,38.7488492,-9.190617099999999
,,38.5987567,-8.9283927
,,38.9016538,-9.119699599999999
,,38.7034408,-9.3412805
,,38.7520814,-9.1036103
,,38.8092842,-9.1846915
,,38.6958327,-9.369220799999999
,,38.74590620000001,-9.1774919
,,38.7918939,-9.3194602
,,38.5160863,-9.0166249
,,38.7514818,-9.2798689
,,39.0363865,-9.369341
,,38.68229669999999,-9.321289199999999
,,38.8006517,-9.160913599999999
,,38.6103746,-9.133622299999999
,,38.6135078,-8.7805319
,,38.6855143,-9.3261607
,,38.7847937,-9.313362099999999
,,38.8538698,-9.1435133
,,38.767812,-9.2225199
,,38.9930005,-8.972828999999999
,,38.7819209,-9.317175299999999
,,38.7133912,-9.3452852
,,38.655178,-9.1634303
,,38.9418122,-9.3359116
,,38.7828404,-9.148985
,,38.6538533,-9.1431074
,,38.6308354,-9.094896199999999
,,38.5411723,-8.8837539
,,38.796623,-9.3518039
,,38.7362816,-9.2670383
,,38.62750140000001,-9.1240809
,,38.9340929,-9.208962399999999
,,38.6393546,-9.1812951
,,38.8109718,-9.1668452
,,38.703808,-9.4359191
,,38.7518493,-8.963904500000002
,,38.8185353,-9.395977
,,38.757826,-9.1360317
,,38.7407292,-9.1461785
,,38.9067789,-9.0435802
,,38.6544667,-9.0384902
,,39.0074768,-9.377423400000001
,,38.7506637,-9.203598
,,38.5306792,-8.8897992
,,38.7881608,-9.1887767
,,38.7559279,-9.1364012
,,38.6576279,-9.025278499999999
,,38.6769203,-9.1589745
,,38.7349152,-9.368175599999999
,,38.7602735,-9.2663978
,,38.7475062,-9.2113443
,,38.8275565,-9.174995599999999
,,38.6213309,-9.0933563
,,38.77072,-9.162264000000002
,,38.7481595,-9.281324999999999
,,38.6372837,-8.9122606
,,38.7352572,-9.130171299999999
,,38.7719669,-9.1027468
,,38.8027473,-9.182431800000002
,,38.83228709999999,-9.177988899999999
,,38.7663612,-9.115777999999999
,,38.7488392,-9.2318619
,,38.8681546,-9.0640623
,,38.6309804,-9.1601336
,,38.5412046,-8.8938379
,,38.7337388,-9.438587799999999
,,38.7108599,-9.205644
,,38.7266928,-9.1306728
,,38.7384299,-9.2114949
,,38.7171384,-9.254048599999999
,,38.717486,-9.1702044
,,38.7489225,-9.2279161
,,38.6266449,-9.193554599999999
,,38.7019896,-9.438102899999999
,,38.7171221,-9.3481971
,,38.7748928,-9.1502153
,,38.8643177,-9.0932128
,,38.65810990000001,-9.0444251
,,38.7919041,-9.3303795
,,38.7212101,-9.1289072
,,38.8528873,-9.3837612
,,38.7717791,-9.2876321
,,38.7261136,-9.124748499999999
,,38.6309804,-9.1601336
,,38.5283261,-8.9084471
,,38.7162785,-9.1294468
,,38.5373942,-8.8901393
,,38.7694579,-9.2313372
,,38.7476784,-9.1437343
,,38.7810296,-9.1206338
,,38.8609453,-9.0663381
,,38.6670919,-9.049629999999999
,,38.5443633,-8.893488
,,38.7971247,-9.351547600000002
,,38.8586738,-9.1355408
,,38.7361178,-9.155678800000002
,,38.521552,-8.8144695
,,38.7390836,-9.221965299999999
,,38.7197099,-9.4361258
,,38.7717791,-9.2876321
,,38.6215334,-9.1012602
,,38.661048,-9.1971739
,,38.5970133,-9.0924918
,,38.7474882,-9.1966541
,,38.6221898,-9.115343099999999
,,38.7696307,-9.106354500000002
,,38.6735927,-9.189078199999999
,,38.9827922,-9.278115699999999
,,38.7689368,-9.3799907
,,38.8077696,-9.0992758
,,38.67454920000001,-9.1644998
,,38.7506151,-9.1310936
,,38.6336748,-8.915625499999999
,,38.799394,-9.1775335
,,38.826459,-9.094816699999999
,,38.6613007,-9.1630861
,,38.7403248,-9.1721148
,,38.644199,-9.1576819
,,38.79724360000001,-9.1931332
,,38.6996231,-9.3795161
,,38.6567498,-9.048936
,,38.7962773,-9.3461766
,,38.7537494,-9.446480099999999
,,38.6939685,-9.3112286
,,38.7334367,-9.114569699999999
,,38.6320901,-9.125466099999999
,,38.6919305,-9.3369459
,,38.7064838,-9.1890098
,,38.7164119,-9.1586021
,,38.7600875,-9.2470632
,,38.71969319999999,-9.142322499999999
,,38.8074243,-9.3255802
,,38.767715,-9.1921923
,,38.5297188,-8.8864883
,,38.5219508,-8.818186899999999
,,38.8460536,-9.084782299999999
,,38.6685372,-8.5874557
,,38.777477,-9.2948352
,,38.774495,-9.154272
,,38.8079572,-9.1719109
,,38.8112743,-9.1576369
,,38.6995356,-9.291648799999999
,,38.7641737,-9.121708199999999
,,38.8734863,-9.0827105
,,38.7041738,-9.1974879
,,38.8261504,-9.1672835
,,38.53987830000001,-8.8472162
,,38.6512913,-9.2024527
,,38.7353875,-9.1654659
,,38.7788716,-9.195966499999999
,,38.83029579999999,-9.0995249
,,38.9676531,-9.4110414
,,38.7300456,-9.149467999999999
,,38.8088549,-9.204832
,,38.5389553,-9.0290912
,,38.6761075,-9.1570387
,,38.7064146,-9.1800417
,,38.681428,-8.9639554
,,38.7007348,-9.4197195
,,38.6574052,-8.9952573
,,38.7600074,-9.183709499999999
,,38.64589,-8.9885436
,,38.6652041,-9.1983905
,,38.8120099,-9.3711023
,,38.7478513,-9.2234097
,,38.7530627,-9.1540888
,,38.767837,-9.099770999999999
,,38.6687332,-9.0493313
,,38.6698859,-9.238283
,,38.7466466,-9.219291
,,38.760721,-9.1294769
,,38.792839,-9.1905272
,,38.73117500000001,-9.173984899999999
,,38.6359696,-8.9578881
,,38.6534488,-9.144592399999999
,,38.8130564,-9.228501399999999
,,38.655937,-9.1561817
,,38.7436005,-9.1115815
,,38.6950867,-9.3716437
,,38.7387334,-9.1432937
,,38.6051566,-9.185435199999999
,,38.7157785,-9.4219154
,,38.9664255,-9.4058495
,,38.8275565,-9.174995599999999
,,38.9891124,-8.971870299999999
,,38.4448192,-9.1004145
