stop_id,stop_name,stop_lat,stop_lon,A1,A2,A3,A4,stop_short_name,tts_stop_name,location_type,platform_code,parent_station,stop_code,stop_url,public_visible,jurisdiction,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,last_stop_update,has_pole,pole_material,has_shelter,shelter_code,shelter_maintainer,has_mupi,has_bench,has_trash_bin,has_lighting,has_electricity,docking_bay_type,last_infrastructure_maintenance,last_infrastructure_check,has_stop_sign,stop_sign_maintainer,has_pole_frame,shelter_frame_area_cm,has_pip_real_time,pip_real_time_code,has_h2oa_signage,has_schedules,has_network_map,last_schedules_maintenance,last_schedules_check,last_stop_sign_maintenance,last_stop_sign_check,has_sidewalk,sidewalk_type,has_tactile_schedules,stop_access_type,has_crosswalk,has_tactile_pavement,has_abusive_parking,has_audio_stop_info,wheelchair_boarding,last_accessibility_check,near_health_clinic,near_hospital,near_university,near_school,near_police_station,near_fire_station,near_shopping,near_historic_building,near_transit_office,light_rail,subway,train,boat,airport,bike_sharing,bike_parking,car_parking
010001,R Carlos M. R. Francisco 229 (Escola Monte Novo),38.754244,-8.959557,0,0,0,1,,Rua Carlos M. Rua Francisco 229 ( Escola Monte Novo ),0,,,010001,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010002,R Carlos M. R. Francisco 229 (Escola Monte Novo),38.754572,-8.959615,0,0,0,1,,Rua Carlos M. Rua Francisco 229 ( Escola Monte Novo ),0,,,010002,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020723,FEIJÓ ( Z INDUSTRIAL) DESCIDA G BRAVO,38.644750,-9.169320,0,0,1,0,,Feijó ( Zona Industrial ) Descida Gato Bravo,0,,,020723,,1,,,,Feijó,,,1503,Almada,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020724,FEIJÓ ( Z INDUSTRIAL) DESCIDA G BRAVO,38.644830,-9.169520,0,0,1,0,,Feijó ( Zona Industrial ) Descida Gato Bravo,0,,,020724,,1,,,,Feijó,,,1503,Almada,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020731,FEIJÓ (ESTR ALGAZARRA) DESCIDA G BRAVO,38.645680,-9.168430,0,0,1,0,,Feijó ( Estrada Algazarra ) Descida Gato Bravo,0,,,020731,,1,,,,Feijó,,,1503,Almada,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030181,R Cesar Oliveira 8,38.768350,-9.226127,1,0,0,0,,Rua Césár Oliveira 8,0,,,030181,,1,,,,Amadora,,,1115,Amadora,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
030182,R Cesar Oliveira 6,38.768645,-9.225998,1,0,0,0,,Rua Césár Oliveira 6,0,,,030182,,1,,,,Amadora,,,1115,Amadora,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
030405,R Indústrias (Fte Iefp),38.751120,-9.219960,1,1,0,0,,Rua Indústrias ( Frente Centro De Emprego E Formação ),0,,,030405,,1,,,,Amadora,,,1115,Amadora,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
030406,R Indústrias (Fte Iefp),38.750940,-9.219940,1,1,0,0,,Rua Indústrias ( Frente Centro De Emprego E Formação ),0,,,030406,,1,,,,Amadora,,,1115,Amadora,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
050181,Av Alfredo César Torres (Rotunda),38.755310,-9.388492,1,0,0,0,,Avenida Alfredo Césár Torres ( Rotunda ),0,,,050181,,1,,,,Cascais,,,1105,Cascais,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
060025,LISBOA (AV JOSÉ MALHOA IEFP),38.737254,-9.163752,0,0,1,1,,Lisboa ( Avenida José Malhoa Centro De Emprego E Formação ),0,,,060025,,1,,,,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
070529,R Cidade Horta 10 (IEFP),38.827940,-9.170600,0,1,0,0,,Rua Cidade Horta 10 ( Centro De Emprego E Formação ),0,,,070529,,1,,,,Loures,,,1107,Loures,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080485,R Dr César Andrade (X) R dos Moinhos,39.034890,-9.367900,0,1,0,0,,Cruzamento Entre ( Rua Doutor Césár Andrade ) E ( Rua Dos Moinhos ),0,,,080485,,1,,,,Mafra,,,1109,Mafra,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080486,R Dr César Andrade 12,39.034300,-9.367960,0,1,0,0,,Rua Doutor Césár Andrade 12,0,,,080486,,1,,,,Mafra,,,1109,Mafra,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080583,R Dr César Andrade (X) R Moinhos,39.034970,-9.368030,0,1,0,0,,Cruzamento Entre ( Rua Doutor Césár Andrade ) E ( Rua Moinhos ),0,,,080583,,1,,,,Mafra,,,1109,Mafra,11,Lisboa,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
