stop_id,stop_name,tts_stop_name
010001,R Carlos M. R. Francisco 229 (Escola Monte Novo),Rua Carlos M. Rua Francisco 229 ( Escola Monte Novo )
010002,R Carlos M. R. Francisco 229 (Escola Monte Novo),Rua Carlos M. Rua Francisco 229 ( Escola Monte Novo )
010005,ALCOCHETE (R CIPRIÃO FIGUEIREDO),Alcochete ( Rua Ciprião Figueiredo )
010007,ALCOCHETE (R LEITE CUNHA) BIBLIOTECA,Alcochete ( Rua Leite Cunha ) Biblioteca
010008,ALCOCHETE (R LEITE CUNHA) BIBLIOTECA,Alcochete ( Rua Leite Cunha ) Biblioteca
010009,ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I,Alcochete ( Avenida Restauração ) Escola Básica Manuel Primeiro
010010,ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I,Alcochete ( Avenida Restauração ) Escola Básica Manuel Primeiro
010011,ALCOCHETE (R JOSÉ GRILO EVANGELISTA),Alcochete ( Rua José Grilo Evangelista )
010012,ALCOCHETE (R JOSÉ GRILO EVANGELISTA),Alcochete ( Rua José Grilo Evangelista )
010013,ALCOCHETE (R COOPERAÇÃO 27),Alcochete ( Rua Cooperação 27 )
010014,ALCOCHETE (R COOPERAÇÃO 27),Alcochete ( Rua Cooperação 27 )
010015,ALCOCHETE (R LIBERDADE) ESCOLA VALBOM,Alcochete ( Rua Liberdade ) Escola Valbom
010016,ALCOCHETE (R LIBERDADE) ESCOLA VALBOM,Alcochete ( Rua Liberdade ) Escola Valbom
010017,ALCOCHETE (AV D MANUEL I 25),Alcochete ( Avenida Dom Manuel Primeiro 25 )
010018,ALCOCHETE (AV D MANUEL I 25),Alcochete ( Avenida Dom Manuel Primeiro 25 )
010019,ALCOCH (AV INF D JOÃO) PRAIA MOINHOS,Alcochete ( Avenida Infante Dom João ) Praia Moinhos
010021,PASSEIO CARAVELAS (FÓRUM ALCOCHETE),Passeio Caravelas ( Fórum Alcochete )
010023,ALCOCHETE (R 25 DE ABRIL 8),Alcochete ( Rua 25 De Abril 8 )
010025,ALCOCHETE (R Mª TERESA NORONHA),Alcochete ( Rua Maria Teresa Noronha )
010027,ALCOCHETE (R CARLOS M ROD FRANCISCO 408),Alcochete ( Rua Carlos M Rod Francisco 408 )
010028,ALCOCHETE (R CARLOS M ROD FRANCISCO 408),Alcochete ( Rua Carlos M Rod Francisco 408 )
010029,ALCOCHETE (R LÁPARO) SUPERMERCADO,Alcochete ( Rua Láparo ) Supermercado
010030,ALCOCHETE (R LÁPARO) SUPERMERCADO,Alcochete ( Rua Láparo ) Supermercado
010031,ALCOCHETE (R LÁPARO) ESTALEIRO MUN,Alcochete ( Rua Láparo ) Estaleiro Municipal
010032,ALCOCHETE (R LÁPARO) ESTALEIRO MUN,Alcochete ( Rua Láparo ) Estaleiro Municipal
010033,ALCOCHETE (R LÁPARO X R BRACIEIRA),Alcochete ( Cruzamento Entre Rua Láparo E Rua Bracieira )
010034,ALCOCHETE (R LÁPARO X R BRACIEIRA),Alcochete ( Cruzamento Entre Rua Láparo E Rua Bracieira )
010035,ALCOCHETE (LAGOA LÁPARO),Alcochete ( Lagoa Láparo )
010036,ALCOCHETE (LAGOA LÁPARO),Alcochete ( Lagoa Láparo )
010037,PQ INDUSTRIAL BATEL (R ALFAZEMAS),Parque Industrial Batel ( Rua Alfazemas )
010038,PQ INDUSTRIAL BATEL (R ALFAZEMAS),Parque Industrial Batel ( Rua Alfazemas )
010039,R DOS DAMASCOS,Rua Dos Damascos
010040,R DOS DAMASCOS,Rua Dos Damascos
010041,QUEBRADAS (SUPERMERCADO),Quebradas ( Supermercado )
010043,ALCOCHETE (AV BARRIS) CENTRO SAÚDE,Alcochete ( Avenida Barris ) Centro Saúde
010045,AV DOS BARRIS - PQ DESP DO VALBOM (ROT),Avenida Dos Barris - Parque Desportivo Do Valbom ( Rotunda )
010047,R VALE FIGUEIRA (CASAS NOVAS),Rua Vale Figueira ( Casas Novas )
010048,R VALE FIGUEIRA (CASAS NOVAS),Rua Vale Figueira ( Casas Novas )
010049,ESTR LAGOA DA CHEIA AGROPECUÁRIA,Estrada Lagoa Da Cheia Agropecuária
010050,ESTR LAGOA DA CHEIA AGROPECUÁRIA,Estrada Lagoa Da Cheia Agropecuária
