pattern_id,tts
1001_0_1,Linha 1001 com destino a Reboleira ( Estação )
1001_0_2,Linha 1001 com destino a Alfragide ( Hospital Veterinário )
1002_0_1,Linha 1002 com destino a Amadora ( Estação Norte )
1002_0_2,Linha 1002 com destino a Alfragide ( Força Aérea )
1003_0_1,Linha 1003 com destino a Amadora És-te ( Metro )
1003_0_2,Linha 1003 com destino a Amadora ( Estação Norte )
1004_0_3,Linha 1004 com destino a Amadora ( Estação Norte )
1005_0_1,Linha 1005 com destino a Casal Mira ( Centro Comercial )
1005_0_2,Linha 1005 com destino a Amadora ( Estação Norte )
1006_0_1,Linha 1006 com destino a Casal Mira ( Centro Comercial )
1006_0_2,Linha 1006 com destino a Amadora ( Estação Norte )
1006_1_1,Linha 1006 com destino a Moinhos Funcheira ( Rotunda )
1006_1_2,Linha 1006 com destino a Amadora ( Estação Norte )
1007_1_1,Linha 1007 com destino a Amadora ( Estação Norte )
1007_0_3,Linha 1007 com destino a Amadora ( Estação Norte )
1008_0_3,Linha 1008 com destino a Amadora És-te ( Metro )
1009_0_3,Linha 1009 com destino a Amadora ( Hospital )
1010_0_1,Linha 1010 com destino a Casal Mira
1010_0_2,Linha 1010 com destino a Brandoa ( Escola )
1011_1_3,Linha 1011 com destino a Reboleira ( Metro )
1011_0_1,Linha 1011 com destino a Reboleira ( Metro )
1011_0_2,Linha 1011 com destino a Brandoa ( Largo )
1012_0_3,Linha 1012 com destino a Práça Teófilo Braga ( Alfornelos Metro )
1013_0_1,Linha 1013 com destino a Atalaia ( Escola Secundária )
1013_0_2,Linha 1013 com destino a Amadora ( Cemitério )
