stop_id,tts
010001,Rua Carlos M. Rua Francisco 229 ( Escola Monte Novo )
010002,Rua Carlos M. Rua Francisco 229 ( Escola Monte Novo )
010005,Alcochete ( Rua Ciprião Figueiredo )
010007,Alcochete ( Rua Leite Cunha ) Biblioteca
010008,Alcochete ( Rua Leite Cunha ) Biblioteca
010009,Alcochete ( Avenida Restauração ) Escola Básica Manuel Primeiro
010010,Alcochete ( Avenida Restauração ) Escola Básica Manuel Primeiro
010011,Alcochete ( Rua José Grilo Evangelista )
010012,Alcochete ( Rua José Grilo Evangelista )
010013,Alcochete ( Rua Cooperação 27 )
010014,Alcochete ( Rua Cooperação 27 )
010015,Alcochete ( Rua Liberdade ) Escola Valbom
010016,Alcochete ( Rua Liberdade ) Escola Valbom
010017,Alcochete ( Avenida Dom Manuel Primeiro 25 )
010018,Alcochete ( Avenida Dom Manuel Primeiro 25 )
010019,Álcochete ( Avenida Infante Dom João ) Praia Moinhos
010021,Passeio Caravelas ( Fórum Alcochete )
010023,Alcochete ( Rua 25 De Abril 8 )
010025,Alcochete ( Rua Maria Teresa Noronha )
010027,Alcochete ( Rua Carlos M Rodrigo Francisco 408 )
010028,Alcochete ( Rua Carlos M Rodrigo Francisco 408 )
010029,Alcochete ( Rua Láparo ) Supermercado
010030,Alcochete ( Rua Láparo ) Supermercado
010031,Alcochete ( Rua Láparo ) Estaleiro Municipal
010032,Alcochete ( Rua Láparo ) Estaleiro Municipal
010033,Alcochete ( Cruzamento Entre ( Rua Láparo ) E ( Rua Bracieira ) )
010034,Alcochete ( Cruzamento Entre ( Rua Láparo ) E ( Rua Bracieira ) )
010035,Alcochete ( Lagoa Láparo )
010036,Alcochete ( Lagoa Láparo )
010037,Parque Industrial Batel ( Rua Alfazemas )
010038,Parque Industrial Batel ( Rua Alfazemas )
010039,Rua Dos Damascos
010040,Rua Dos Damascos
010041,Quebradas ( Supermercado )
010043,Alcochete ( Avenida Barris ) Centro Saúde
010045,Avenida Dos Barris - Parque Desportivo Do Valbom ( Rotunda )
010047,Rua Vale Figueira ( Casas Novas )
010048,Rua Vale Figueira ( Casas Novas )
010049,Estrada Lagoa Da Cheia Agropecuária
010050,Estrada Lagoa Da Cheia Agropecuária
010051,Estrada Lagoa Da Cheia 610
